"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1164","HERPUD1",0.644257936507936,0.143375796178344,13.7203687759132,9.22470771731298e-29,1.21433550365798e-26,54.7619614955332
"18020","DGKA",0.626105158730158,0.064203821656051,13.5665986030944,2.43666796249773e-28,3.18594336096579e-26,53.7992038297954
"8717","ADORA3",0.723343253968254,-0.155095541401274,13.5606546066171,2.5299450835084e-28,3.28570250409202e-26,53.7619692830067
"9941","SPG7",0.72344246031746,0.177197452229299,13.5339995857485,2.99419135115982e-28,3.83100187685083e-26,53.594979541525
"3925","NPHS2",0.981938492063492,-0.145286624203822,13.5337002078677,2.99986295974311e-28,3.83100187685083e-26,53.593103830641
"821","CCL5",-1.29842857142857,-0.814267515923567,-13.5332080392658,3.00921030066315e-28,3.83100187685083e-26,53.590020208715
"19070","NCL",-0.66598611111111,-0.205987261146497,-13.492670856353,3.88821850565975e-28,4.91770694790993e-26,53.3360085419226
"10984","TRPV6",-0.490841269841269,-0.42859872611465,-13.4673450182647,4.56350114554043e-28,5.73430588749044e-26,53.1772828664835
"4629","TRIM28",-0.518234126984126,-0.384140127388535,-13.4547070589779,4.94318802529565e-28,6.17133106306427e-26,53.0980679100937
"14541","IL6R",0.731392857142857,0.133757961783439,13.4342766061244,5.62500159169896e-28,6.97752601288248e-26,52.9699976366894
"4299","UPB1",0.800734126984126,0.475668789808917,13.4288884162088,5.82000339155625e-28,7.1734322057328e-26,52.9362188396896
"3812","KCNK3",-0.614101190476189,-0.456751592356688,-13.4177550685601,6.24462464200677e-28,7.6480842688274e-26,52.8664202540267
"11921","COX2",-0.965825825825825,-0.788333333333333,-13.4275357674734,6.58851165284567e-28,8.01850874177462e-26,52.815833638624
"551","IARS2",0.781117063492062,0.427452229299363,13.3998769151181,6.99231784203498e-28,8.45677141007617e-26,52.7543275114153
"8442","MPV17",0.493003968253968,0.0245859872611465,13.3706541683455,8.41224471952927e-28,1.01108911532678e-25,52.5710834125846
"1252","ARF3",0.820730158730157,0.609044585987261,13.3648884297176,8.72478957822916e-28,1.04218150079205e-25,52.5349254946467
"15651","IMPDH1",-0.568499999999999,-0.239554140127389,-13.3382689002387,1.03253797369513e-27,1.22580627785119e-25,52.3679761821845
"12112","HCST",-0.603126984126984,-0.590700636942675,-13.3092585976435,1.24061822551907e-27,1.46385385865973e-25,52.1860074834912
"9385","LIMS2",0.692412698412698,-0.105605095541401,13.307628117295,1.25348666888939e-27,1.47007397149567e-25,52.1757794424776
"5593","RASGRF1",0.553359126984126,0.327197452229299,13.304752825195,1.27650604841186e-27,1.4880523218565e-25,52.157742472683
"15094","LRRC50",0.628063492063491,0.124267515923567,13.2821989265478,1.47237808636874e-27,1.70610708678572e-25,52.0162512263224
"10799","TDRD1",0.579952380952381,0.223057324840764,13.2757525743109,1.53369991603764e-27,1.76658494495502e-25,51.9758074538867
"5371","CDK10",0.687839285714285,0.126687898089172,13.2716928811999,1.57362332132083e-27,1.80184525981535e-25,51.9503367207189
"4925","DHX34",0.778605158730158,0.172993630573248,13.2413189508879,1.90724985175516e-27,2.17101128713612e-25,51.759754021618
"6940","CPNE3",0.656676587301587,-0.0559872611464968,13.2240459327749,2.12765553058407e-27,2.40773462996095e-25,51.6513620502035
"11704","GPR124",0.549376984126984,0.182356687898089,13.2161760342292,2.23635903378987e-27,2.51603393388766e-25,51.6019739914893
"6533","NEURL",-0.479482142857141,-0.476050955414013,-13.2100888195304,2.32423656239898e-27,2.59978622653079e-25,51.5637721273794
"6242","CTSW",-0.752761904761904,-0.575668789808917,-13.2028491709356,2.43326105459332e-27,2.70609394640433e-25,51.5183365730458
"12139","WIPI2",0.564946428571428,0.271019108280255,13.1939175019913,2.57484353434087e-27,2.84718841331601e-25,51.4622800862775
"11573","PELI2",0.606325396825397,0.179426751592357,13.1873827878727,2.68362567837488e-27,2.95061593762684e-25,51.4212659118216
"14314","CCDC120",1.10409126984127,-0.00592356687898089,13.1847353466932,2.72899537838933e-27,2.98354743317581e-25,51.4046493174047
"17048","XRCC6",-0.585140873015872,-0.648980891719745,-13.1613565147689,3.16447462287275e-27,3.44021058579835e-25,51.2579048466888
"12923","KIAA0515",0.96767857142857,0.70031847133758,13.1532211407419,3.33179138547396e-27,3.601871234654e-25,51.206837397416
"15390","COX2",-0.915472222222222,-0.648853503184713,-13.1518379897586,3.36110596013781e-27,3.61337563525704e-25,51.1981549037936
"15512","OLIG2",-0.515783730158729,-0.463503184713376,-13.1463021497942,3.48103933203216e-27,3.72163492343394e-25,51.1634041396825
"1554","EGR4",1.05564880952381,0.298407643312102,13.1453349669678,3.50242844460976e-27,3.72392817756283e-25,51.1573326539527
"5738","PRKCH",-1.22337037037037,-0.881111111111111,-13.1926022148654,4.06158765424596e-27,4.29485151351441e-25,51.0209511969134
"7512","CCND3",-0.79736111111111,-0.557707006369427,-13.1016173466216,4.61987180666629e-27,4.85864887667388e-25,50.8828718807102
"2178","PHF1",0.623519841269842,-0.176751592356688,13.0856933714402,5.11021795099658e-27,5.34528797674242e-25,50.7828894569577
"19122","IQSEC3",-0.492001984126984,-0.269426751592357,-13.067365978747,5.7393712453047e-27,5.95617700670726e-25,50.6678095353432
"9875","CLEC4E",1.47674603174603,0.864585987261146,13.0669147698,5.75580125189529e-27,5.95617700670726e-25,50.6649762458759
"6479","SLC3A2",0.791676587301587,0.0603184713375796,13.0585186144525,6.07026464967107e-27,6.24817506573324e-25,50.6122532133196
"9758","ZBED1",-0.479186507936507,-0.449617834394904,-13.0523828975595,6.31088625084401e-27,6.46147935661812e-25,50.5737234714676
"18219","NBPF11",0.773654761904762,0.0605732484076433,13.0502859659104,6.39529005977198e-27,6.51343462877092e-25,50.5605554306992
"2973","CIC",-0.603019841269841,-0.226624203821656,-13.0215400872769,7.6729314720224e-27,7.77376423639296e-25,50.3800314667656
"11547","TMEM35",-0.455119047619047,-0.471337579617834,-12.9862769404664,9.59415156364736e-27,9.66960556813229e-25,50.1585563010558
"7408","SFRS3",-0.980180180180178,-0.634102564102564,-12.9811425968699,1.10213047492826e-26,1.10504284043196e-24,50.0236967263448
"11998","RSL1D1",-0.73107738095238,-0.462866242038217,-12.9441089376919,1.25333839108972e-26,1.25017274257614e-24,49.8936833392848
"5823","C14orf131",1.04281944444444,0.375477707006369,12.9272033540804,1.39509176942105e-26,1.38443183743932e-24,49.7874841903672
"18597","C3orf46",0.743214285714287,0.183589743589744,12.9309458230128,1.51338253951407e-26,1.49415640419065e-24,49.7109502046455
"11919","HMCN1",0.553801587301587,-0.0933757961783439,12.9109331136486,1.54664436228351e-26,1.5192444190126e-24,49.6852716579627
"6461","HSPA8",-0.741055555555555,-0.635095541401274,-12.9077037603881,1.57862967058825e-26,1.54283145230067e-24,49.6649837727243
"9702","BAI1",-0.508605158730158,-0.230382165605096,-12.8826612768443,1.85020601580643e-26,1.79916264381258e-24,49.50765284688
"15901","DOC2A",-0.446559523809523,-0.537898089171975,-12.875307591805,1.93849646960385e-26,1.8755922591652e-24,49.461451039481
"16849","KIAA1543",-0.52669246031746,-0.25484076433121,-12.8519972425869,2.24719935936367e-26,2.15639102478269e-24,49.3149912850552
"6261","CD81",0.586611111111111,0.179363057324841,12.8517306926503,2.25099988117464e-26,2.15639102478269e-24,49.3133164973267
"7301","OSTM1",0.56561111111111,0.230382165605096,12.8485837542641,2.29635860903286e-26,2.18900667208842e-24,49.2935435651875
"628","FANCA",0.847523809523809,0.619936305732484,12.8464347104758,2.32785837526729e-26,2.20815624606849e-24,49.2800405534036
"4830","GTF2F1",0.772763888888888,0.150382165605096,12.809586249464,2.94045109054272e-26,2.77156987513098e-24,49.0485022909006
"14705","CHMP4C",0.771648809523809,0.0998089171974522,12.8090503175775,2.95045937820775e-26,2.77156987513098e-24,49.0451346199086
"16560","C10orf79",0.587561507936508,-0.0470700636942675,12.7929519125116,3.26751143827219e-26,3.05457071700508e-24,48.94397436246
"5919","TNFSF13B",1.29313293650793,0.994267515923567,12.7448205003069,4.43360523679373e-26,4.12474494890363e-24,48.6415053142507
"11590","LRRC56",-0.46857738095238,-0.255605095541401,-12.7407531584665,4.54943896653867e-26,4.21225805940143e-24,48.6159440716335
"5042","CCR7",-0.75045238095238,-0.376687898089172,-12.7259876457282,4.99597681845132e-26,4.60367368637388e-24,48.5231487462904
"16086","KIAA1429",0.511593253968254,0.231847133757962,12.7152932150365,5.34653371982211e-26,4.90335421859136e-24,48.4559372772289
"19236","ARF1",-0.820773809523808,-0.578853503184713,-12.710403710447,5.51490348818676e-26,5.03391025471236e-24,48.4252077871296
"13245","SHOX2",-0.842089285714284,-0.738726114649682,-12.7096296249881,5.54204111540561e-26,5.03493134385981e-24,48.42034280667
